,SMILES,liv,lun,sto,mgl,liv_reliability,lun_reliability,sto_reliability,mgl_reliability
159,CCCCCN(C(=O)OCC)N=O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
160,CCN(/C(=N\[N+](=O)[O-])/N)N=O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
161,CCOS(=O)(=O)OCC,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
162,CN(C(=N)N[N+](=O)[O-])N=O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
163,CN(C(=O)NCCC[C@@H](C(=O)O)N)N=O,0.0,0.0,1.0,1.0,implicit,implicit,explicit,explicit
164,CN(C)C(=O)NN=O,0.0,0.0,1.0,1.0,implicit,implicit,explicit,explicit
165,CN(C=O)N=O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
166,CN(CCC1=CC=CC=C1)N=O,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
167,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N)OC)N,0.0,0.0,1.0,0.0,implicit,implicit,explicit,implicit
168,C1=CC(=CC=C1CC(C(=O)O)N)N(CCCl)CCCl,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
169,C1=CC=C2C=C3C=C(C=CC3=CC2=C1)N,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
170,C1=COC(=C1)CNC2=CC(=C(C=C2C(=O)O)S(=O)(=O)N)Cl,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
171,CC(=O)N(C1=CC=CC2=C1CC3=CC=CC=C32)C(=O)C,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
172,CC(=O)NC1=CC=C(C=C1)C2=CC=C(C=C2)N(C(=O)C)O,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
173,CC(=O)[C@]1(CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2C=C(C4=CC(=O)CC[C@]34C)Cl)C)OC(=O)C,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
174,CC(C)(C1=CC=C(C=C1)O)C2=CC=C(C=C2)O,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
175,CC1(C=CC2=C3C(=C(C=C2O1)OC)C(=O)C4=CC=CC=C4N3C)C,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
176,CC1=C2C(=C(C3=CC=CC=C13)C=O)C=CC4=CC=CC=C42,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
177,CN(C)NC1=NC(=CS1)C2=CC=C(O2)[N+](=O)[O-],0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
178,CO[C@H]1[C@@H](C[C@@H]2CN3CCC4=C([C@H]3C[C@@H]2[C@@H]1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
179,C[C@]12CC[C@H]3[C@H]([C@@H]1CCC2=O)CCC4=C3C=CC(=C4)O,0.0,0.0,0.0,1.0,implicit,implicit,implicit,explicit
180,C1=CC(=CC=C1C2=CSC(=N2)N)[N+](=O)[O-],1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
181,C1=CC(=CC=C1N)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
182,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
183,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
184,CC1CN(CC(N1)C)N=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
185,CC1CN1P(=O)(N2CC2C)N3CC3C,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
186,CCCCOC(=O)C1=CC=CC=C1C(=O)OCC2=CC=CC=C2,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
187,CCN(CC)C(=S)S[Te](SC(=S)N(CC)CC)(SC(=S)N(CC)CC)SC(=S)N(CC)CC,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
188,COC1=C(C=CC(=C1)C2=CC(=C(C=C2)N=C=O)OC)N=C=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
189,COP(=O)(N1CCOCC1)OC,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
190,C(#CCl)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
191,C(=C(Cl)Cl)(Cl)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
192,C(=C(F)F)(F)F,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
193,C(C(=O)O)(Br)Br,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
194,C(CO)N(CCO)N=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
195,C([C@H]([C@@H]([C@@H]([C@H](CBr)O)O)O)O)Br,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
196,C/C=C(/C)\C(=O)O[C@H]1CCN2[C@@H]1C(=CC2)COC(=O)[C@@]([C@H](C)OC)(C(C)(C)O)O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
197,C/C=C\1/CC(=C)[C@@](C(=O)OCC2=CCN3[C@H]2[C@@H](CC3)OC1=O)(CO)O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
198,C1(=C(C(=C(C(=C1Cl)Cl)Cl)Cl)Cl)O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
199,C12(C3(C4(C5(C3(C(C1(C5(C2(C4(Cl)Cl)Cl)Cl)Cl)(Cl)Cl)Cl)Cl)Cl)Cl)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
200,C1=C(C=C(C(=C1Cl)N)Cl)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
201,C1=C(C=C(C(=C1Cl)O)Cl)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
202,C1=CC(=CC=C1C(C2=CC=C(C=C2)Cl)C(Cl)(Cl)Cl)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
203,C1=CC(=CC=C1C[C@@H](C(=O)O)N)N(CCCl)CCCl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
204,C1=CC(=CC=C1N)OC2=CC=C(C=C2)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
205,C1=CC(=CC=C1O)O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
206,C1=CC(=CC=C1[N+](=O)[O-])Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
207,C1=CC(=CC=C1[N+](=O)[O-])OC2=C(C=C(C=C2)Cl)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
208,C1=CC2=C(C=C1Cl)OC3=C(O2)C=C(C=C3)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
209,C1=CC=C(C=C1)C(=O)NN,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
210,C1=CC=C(C=C1)N=NC2=CC=CC=C2,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
211,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)C=C(C=C3)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
212,C1=CC=C2C(=C1)C(=O)OC2(C3=CC=C(C=C3)O)C4=CC=C(C=C4)O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
213,C1=CC=C2C(=C1)C3=C4C(=CC=C5C4=C(C=C3)C(=O)C6=CC=CC=C65)C2=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
214,C1=CC=C2C(=C1)NC(=S)S2,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
215,C1=COC=C1,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
216,C=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
217,CC(=O)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
218,CC(C)(C)OC,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
219,CC(C)CC(=O)OCC=C,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
220,CC(C)CCCCCCOC(=O)C1=CC=CC=C1C(=O)OCCCCCCC(C)C,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
221,CC1(C(=C)[C@@]2(C([C@]1(C(C2(Cl)Cl)(Cl)Cl)Cl)Cl)Cl)C,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
222,CC1=C(C=C(C=C1)Cl)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
223,CC1=C(C=C(C=C1)[N+](=O)[O-])N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
224,CC1=CC=C(C=C1)NC(=O)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
225,CC1CC(OC(O1)C)OC(=O)C,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
226,CCCC(CCCC(CCC(CCC(CCC(CCCC(CCC)Cl)Cl)Cl)Cl)Cl)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
227,CCCCCC(=O)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
228,CN(C)C1=CC=C(C=C1)C(=O)C2=CC=C(C=C2)N(C)C,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
229,CN(C)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
230,CN(C=O)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
231,CN1C=NC(=C1SC2=NC=NC3=C2NC=N3)[N+](=O)[O-],1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
232,COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4C5C=COC5OC4=C1,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
233,COC1=CC=CC=C1[N+](=O)[O-],1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
234,C[As](=O)(C)O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
235,Cl[Cd]Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
236,C(C(CBr)Br)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
237,C(CCl)OP(=O)(OCCCl)OCCCl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
238,C1=CC(=C(C=C1C2=CC(=C(C=C2)N)Cl)Cl)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
239,C1=CC(=CC=C1C2=CSC(=N2)NN)N,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
240,C1=CC(=CC=C1C2=CSC(=N2)NN)[N+](=O)[O-],1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
241,C1C=CCC2C1C(=O)N(C2=O)SC(C(Cl)Cl)(Cl)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
242,C1CN(C(=O)N1)/N=C/C2=CC=C(O2)[N+](=O)[O-],1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
243,C1CN1P(=S)(N2CC2)N3CC3,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
244,C1CNP(=O)(OC1)N(CCCl)CCCl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
245,C1COS(=O)(=O)C1,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
246,CC(Cl)Cl,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
247,CCCCCN(C(=O)N)N=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
248,CCCCNC(=O)N(CCCC)N=O,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
249,CCNC1=NC(=NC(=N1)Cl)NC(C)C,1.0,1.0,1.0,1.0,explicit,explicit,explicit,explicit
